Date,BTC-USD,ETH-USD,USDT-USD,BNB-USD,USDC-USD,XRP-USD,BUSD-USD,ADA-USD,DOGE-USD,MATIC-USD,Total Crypto Volume,FTSE 100 Volume
2022-05-11,70388855818,45743399154,159700404396,3870618668,15143285239,5290247987,15589615018,2692548110,2556008051,1825527072,322800509513,1206944700.0
2022-05-12,66989173272,42463486402,141052751792,4739990237,18612052637,4641055357,19141081792,2798263564,2631064083,1212553919,304281473055,966343100.0
2022-05-13,42841124537,24816096567,87009885196,2774121165,8025797259,2949331810,9868896598,1946134960,1444350618,920972261,182596710971,871946000.0
2022-05-14,28579868620,15457044616,60781876668,1884570404,5734214071,2021953522,12584143003,1178703676,902479951,658971093,129783825624,
2022-05-15,25835372065,14846088335,53979914930,1611088257,4610661832,1427697924,8030119560,1090431332,651900826,579515915,112662790976,
2022-05-16,32613897286,21459552191,62504490441,1754184298,6650512579,1839092427,8968771547,1291715346,606521740,624793295,138313531150,814978400.0
2022-05-17,29101473475,18509929297,55745978864,1584497815,5271575140,1598581919,6186204948,935138863,560800173,603630385,120097810879,821412200.0
2022-05-18,31285268319,17740965589,56067250693,1520090732,5791540700,1599734223,5858486740,933793601,558257804,583536015,121938924416,830397600.0
2022-05-19,33773447707,18734247914,59651836770,1646882950,6580258237,1557252121,7128537722,939230823,613801947,562277160,131187773351,1037438100.0
2022-05-20,30749382605,15892482289,54960961209,1756670714,5519038708,1721877559,6067105966,722609837,518556378,471529777,118380215042,790841400.0
2022-05-21,17274840442,8546822406,34924240134,1318736979,3085866979,875738315,3634961961,428041383,335246011,336382745,70760877355,
2022-05-22,21631532270,10941123403,40965864100,1604297406,3493584223,896133087,5907534747,489742264,375026021,366281413,86671118934,
2022-05-23,31483454557,16434529708,58585612765,2228144099,5594245864,1399019792,7517762774,753004177,507385171,526180432,125029339339,819767300.0
2022-05-24,26616506245,13057109007,51053417289,2002782969,4616931095,1394251522,5019654714,678125877,462415724,491165132,105392359574,1113802600.0
2022-05-25,27525063551,13364545730,50311844127,2008481372,4580073336,1587278448,5322160200,589015500,419834752,431704050,106140001066,898078000.0
2022-05-26,36774325352,23458681818,67771285444,2686414043,6850921932,2091610974,6748914760,909554798,711890873,639244926,148642844920,709669900.0
2022-05-27,36582005748,25470760032,67961870830,2593113824,6832701659,1927217638,6183776987,922413717,1310057650,593527918,150377446003,713185000.0
2022-05-28,35519577634,23214777872,37159842905,1471633413,4367920911,865258883,3098142540,448858644,535539620,335254570,107016806992,
2022-05-29,18093886409,10642556101,34572061153,1208835000,3972282488,752879867,3122801413,444269488,394962471,319839657,73524374047,
2022-05-30,39277993274,19580808705,65155466235,2064357375,6484139842,1404448305,6441103252,1185015742,690696756,506811869,142790841355,1009169800.0
2022-05-31,33538210634,18363115560,62841794272,1711532960,5896228360,1738462198,6529694566,3269050143,672444588,532469324,135093002605,1620576000.0
2022-06-01,41135817341,21037797760,68866735590,1763624947,6158677984,1569696040,7440818455,1404107650,830748610,490354332,150698378709,734829800.0
2022-06-02,29083562061,17065041354,50520845556,1228180850,4994899697,1298797541,4667275756,1257661647,434510607,383387514,110934162583,
2022-06-03,26175547452,14878001811,43789145735,1115211127,4266590882,1284592602,3966721500,910186327,403339248,313900785,97103237469,
2022-06-04,16588370958,8677951273,30834183068,805954970,3190396150,696569397,2498217083,559861766,350329772,216977139,64418811576,
2022-06-05,17264085441,8850385937,30872185296,779603321,3227635578,726398938,2621810817,478128224,282624184,248703613,65351561349,
2022-06-06,31947336829,16518471852,51540243030,1470941103,4623471415,1221803580,4632444530,1417826128,503707292,443338176,114319583935,696171700.0
